observation,Affluent,Amont,Arbre,Arme,Barrage,Barriere,Barza,Beach,Bifurcation,Bivouac,Borne,Cal 12,Campement,Caracasse,Case,Centre de sante,Chaine,Champ,Chantier,Chien,Chute,Col_Met,Confluence,Contact,Coup de bale,Coup de balle,Creuseur,Cri,Crotte,Delly,Douille,Drague,Eboulement,Ecaille,Entree,Erosion,Etang,Fin,Flan,Flanc,Fleche,Football,Foret marecageux,Foret primaire ferme,Foret primaire ouverte,Groupement,Homme,Hotel,Ido,Inconnu,Innondation,Limite,Localite,Maison,Maternite,Miel,Milieu,Mine,Mont,Montagne,Mue,Nid,Nourriture,Nylon,Observe,Olate,Ongana,Os,Pancarte,Peche,Pegeon,Pigeon,Pirogue,Piste,Piste ngombo,Plateau,Pluie,Pont,Position,Poste de patrouille,Primaire,RD,RG,RN3,Ravin,Repos,Restaurant,Riviere,Rocher,Route,Ruisseau,Saline,Sang,Sominki,Sommet,Source,Sous base,Sous station,Stade,Start,Station,Surveillance,Swamp,Tente,Tortue aquatique,Trace,Traverse,Trou,Vallee,Vodacom,Vu
Activite humaine,,,,2763646.0,,,,,,25904366.0,,1119645.0,,,2807517.0,,,1547445.0,1678639.0,,,1733201.0,,,,,,,,1109105.0,563675.0,,,,,,,,,,,,,,,,556357.0,,,,,,,,,,,527291.0,,,,,,25737969.0,,,,,,5589522.0,,,,50610700.0,,,,,,,,535102.0,533802.0,,,,,,,,,,,,,,,,,,,,,550881.0,,,573896.0,,,,3117709.0
Aigle royal,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10444929.0
Antilope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2242977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120061.0,,,,,6077630.0
Arbre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622192.0
Atherure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2213957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3224176.0
Babouin,,,,,,,,,,,,,,,,,,,,,,,,,,,,559570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580561.0
Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553326.0
Biodiversite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532538.0,,,,,,,531530.0,534054.0,10694909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21763590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51079891.0,,,,,1070342.0
Buffle nain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177116468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448749543.0,575443.0,,,,10412474.0
Buvouac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081258.0
Cal12,,,,4864680.0,,,,,,24444620.0,,,,,,,,1077785.0,,1613487.0,,,533220.0,,3376253.0,18946941.0,,,,,75076383.0,,,,,,,,,,,,,,,,16046550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12803694.0,,,,,,,,,,,,,,,,,,,563523.0,,,,,,,,,,,,,,,,,,1574048.0
Calao,,,,,,,,,,,,,,,,,,,,,,,,,,,,3068294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9005257.0
Cameleon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19722348.0
Camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555697.0,,,,,,,,,
Campement,,,,,,,,,,,,,,,7035845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544520.0,3258340.0,,540654.0,,,,,,,,,,,,,,,,,,,,,,4896374.0,,,,,,,
Canard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535157.0
Cephalophe a dos jaune,,,,,,,,,,576222.0,,,,,,,,,,,,,,,,,,1713762.0,315645327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959114662.0,1154821.0,,,,43336161.0
Cephalophe albigena,,,,,,,,,,,,,,,,,,,,,,,,,,,,10326183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4376180.0
Cephalophe dorsalis,,,,,,,,,,,,,,1080817.0,,,,,,,,,,,,,,577660.0,336617372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380568214.0,1125952.0,,,,78002913.0
Cephalophe monticola,,,,,,,,,,576480.0,,,,569920.0,,,,,,,,,,,,,,557089.0,284931057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5499358.0,,,,,,557308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737177036.0,1152499.0,,,,119513581.0
Cephalophe sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45401576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224470815.0,,522901.0,,,2774696.0
Cercocebe albigena,,,,,,,,,,,,,,,,,,,,,,,,,,,,1617181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3274977.0
Cercopithecus denti,,,,,,,,,,,,,,,,,,,,,,,,,,,,132717365.0,25997187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41771339.0,,,,,187025978.0
Cercopithecus hamlyni,,,,,,,,,,,,,,543146.0,,,,,,,,,,,,,,446183469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560971.0,,,,,170256316.0
Cercopithecus mitis,,,,,,,,,,,,,,541803.0,,,,,,,,,,,,,,726696269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270968649.0
